2 Pc. Chicken - Combo		$5.99
Doublicious Sandwich - Combo		$5.99
Popcorn Nuggets - Combo		$5.49
2 Chicken Littles - Combo		$5.29
Go Large Combo		$1.50
1 Pc. Basket (Chicken Breast, Coleslaw & Biscuit)		$5.49
2 Pc. Basket (Drumstick & Thigh, Coleslaw & Biscuit)		$5.49
8 Pc. Meal (8 Pc. Chicken, Large Mashed Potatoes & Gravy, Large Coleslaw & 4 Biscuits)		$21.99
3 Pc. Basket (3 Tenders, Coleslaw & Biscuit)		$5.49
12 Pc. Meal (12 Tenders, Large Mashed Potatoes & Gravy, Large Coleslaw & 4 Biscuits)	$21.99
24 Pc. Tailgate Meal (24 Tenders)		$29.99
Chicken Tenders	3 Pc.	$3.99
Chicken Tenders	6 Pc.	$6.99
Chicken Tenders	12 Pc.	$12.99
Chicken Tenders - Combo	3 Pc.	$5.99
Popcorn Nuggets	Large	$3.99
Drumstick, 1 Chicken Little, 1 Tender, or Popcorn Nuggets, and Individual Side, and Applesauce, or Small Drink	$3.99
8 Pc. Meal with 2 Large Sides & 4 Biscuits	$21.99
8 Pc. Chicken Only		$14.99
12 Pc. Meal with 3 Large Sides & 6 Biscuits	$29.99
12 Pc. Chicken Only		$20.49
16 Pc. Meal with 4 Large Sides & 8 Biscuits	$36.99
16 Pc. Chicken Only		$24.99
Tenders & Wedges for 2 (6 Pc. Tenders, Large Wedges & 2 Sauces)		$9.99
Tenders Meal (12 Pc. Tenders, 2 Large Sides, 4 Biscuits & 6 Sauces)		$19.99
Mashed Potatoes	Individual	$1.99
Mashed Potatoes	Large	$3.79
Potato Wedges	Individual	$1.99
Potato Wedges	Large	$3.79
Baked Beans	Individual	$1.99
Baked Beans	Large	$3.79
Cole Slaw	Individual	$1.99
Cole Slaw	Large	$3.79
Sweet Kernel Corn	Individual	$1.99
Sweet Kernel Corn	Large	$3.79
Green Beans	Individual	$1.99
Green Beans	Large	$3.79
Mac & Cheese	Individual	$1.99
Mac & Cheese	Large	$3.79
2 Biscuits		$1.49
3 Hot Wings		$2.29
1 Chicken Little		$1.49
Go Cup - Popcorn Nuggets & Wedges	$2.79
Go Cup - Chicken Little & Wedges	$2.79
Go Cup - 2 Tenders & Wedges	$2.79
Go Cup - 3 Hot Wings & Wedges	$2.79
Soft Drink	Medium	$1.69
Soft Drink	Large	$1.99
Aquafina Water	Bottle	$1.69
Iced Tea	1/2 Gallon	$2.49
Lemonade	Medium	$1.99
Lemonade	1/2 Gallon	$3.49
Strawberry Lemonade	Medium	$2.29
Strawberry Lemonade	1/2 Gallon	$3.99
Family Meal - 8 Pc. Chicken, 2 Large Mashed Potatoes, Large Gravy, Large Coleslaw & 4 Biscuits		$20.00
2 Pc. Drum & Thigh, Mashed Potatoes with Gravy, Biscuit, Medium Drink & Chocolate Chip Cookie	$5.00
3 Pc. Tenders, Mashed Potatoes with Gravy, Biscuit, Medium Drink & Chocolate Chip Cookie	$5.00
Chicken Breast, Mashed Potatoes with Gravy, Biscuit, Medium Drink & Chocolate Chip Cookie	$5.00
Famous Bowl, Medium Drink & Chocolate Chip Cookie	$5.00
Pot Pie, Medium Drink & Chocolate Chip Cookie	$5.00
3 Pc. Chicken Box		$7.99
2 Pc. Chicken & Popcorn Box		$7.99
3 Tenders & Popcorn Box		$7.99
Chocolate Chip Cake		$3.99
Cookies	3 Pc.	$1.29
Cookies	12 Pc.	$4.49
