The Original Slider	Single	$0.72
The Original Slider	Double	$1.42
Cheese Slider	Single	$0.90
Cheese Slider	Double	$1.78
Jalapeno Cheese Slider	Single	$0.94
Jalapeno Cheese Slider	Double	$1.86
Bacon Cheese Slider	Single	$1.24
Bacon Cheese Slider	Double	$2.46
Fish Slider		$1.59
Chicken Breast Slider		$1.59
Chicken Ring Slider		$1.39
Veggie Slider		$0.99
Chicken & Waffles Slider (Limited Time)		$2.69
Bistro Turkey Slider (Limited Time)		$1.09
Cranberry Turkey Slider (Limited Time)		$1.19
Turkey Dinner Slider (Limited Time)		$1.59
Bacon & Cheddar		$1.79
Bacon & Cheddar - Combo		$6.19
Savory Grilled Chicken		$1.59
Savory Grilled Chicken - Combo		$5.79
Western BBQ		$1.79
Western BBQ - Combo		$6.19
French Fries	Small	$1.59
French Fries	Medium	$1.89
French Fries	Sack	$2.69
Onion Rings	Small	$1.89
Onion Rings	Sack	$2.79
Onion Chips	Small	$1.89
Onion Chips	Medium	$2.29
Onion Chips	Sack	$2.79
Chicken Rings	6 pc.	$2.39
Chicken Rings	9 pc.	$3.49
Chicken Rings	20 pc.	$6.99
Cheese Fries		$1.99
Loaded Fries		$2.99
Cheese Sticks	3 pc.	$1.89
Cheese Sticks	5 pc.	$2.99
Cheese Sticks	10 pc.	$5.69
Fish Nibblers	Small	$2.99
Fish Nibblers	Medium	$4.99
Fish Nibblers	Sack	$7.99
Applesauce		$0.99
Sweet Potato Waffle Fries (Limited Time)	Small	$1.69
Sweet Potato Waffle Fries (Limited Time)	Medium	$1.99
Sweet Potato Waffle Fries (Limited Time)	Sack	$2.79
Soft Drink	Small	$1.59
Soft Drink	Medium	$1.89
Soft Drink	Large	$1.99
Iced Tea (Unsweetened or Southern Sweet)	Small	$1.59
Iced Tea (Unsweetened or Southern Sweet)	Medium	$1.89
Iced Tea (Unsweetened or Southern Sweet)	Large	$1.99
Iced Tea (Unsweetened or Southern Sweet)	Gallon	$3.99
Shakes (Vanilla or Chocolate)	Small	$2.59
Shakes (Vanilla or Chocolate)	Medium	$2.99
Shakes (Vanilla or Chocolate)	Large	$3.99
Coffee	Small	$0.99
Coffee	Medium	$1.19
Coffee	Large	$1.29
Coffee Box	96 oz.	$8.99
Hot Chocolate		$1.19
Milk or Chocolate Milk	8 oz.	$0.99
Orange Juice	10 oz.	$1.39
Apple Juice Box		$0.99
Water	Bottle	$1.39
Vitamin Water or Powerade		$1.99
Minute Maid		$2.39
Hi-C Orange	Gallon	$3.99
Cranberry Spritzer with Sprite (Limited Time)		$1.59
Peach Fruit Smoothie (Limited Time)	16 oz.	$2.99
Strawberry Banana Smoothie (Limited Time)	16 oz.	$2.99
Fudge-Dipped Brownie		$0.99
Fudge-Dipped Cheesecake		$0.99
Gooey Butter Cake		$0.99
The Original Slider		$5.49
Double Cheese Slider		$5.79
Chicken Breast Slider		$5.79
Fish Slider		$5.29
6 pc. Chicken Rings 		$4.99
Chicken Ring Slider		$4.99
10 Original Sliders, 2 Small French Fries, and 2 Small Soft Drinks	$12.29
20 Pc. Sack of Chicken Rings, 10 Original Sliders, and 1 Sack of French Fries	$15.79
20 Original Sliders, and 4 Small French Fries	$17.99
Original Slider	1 Pc.	$2.59
Cheese Slider	1 Pc.	$2.79
Chicken Rings	3 Pc.	$3.09
Grilled Chicken Slider	1 Pc.	$3.49
One Breakfast Slider		$3.59
Two Breakfast Sliders		$4.99
One Breakfast Toast Sandwich		$3.89
Two Breakfast Toast Sandwiches		$5.59
One Belgian Waffle Slider		$4.09
The Original Slider with Egg & Cheese		$1.59
Breakfast Slider with Sausage & Cheese		$1.39
Breakfast Sliders with Egg & Cheese		$1.39
Breakfast Sliders with Bacon, Egg & Cheese		$1.59
Breakfast Sliders with Sausage, Egg & Cheese		$1.59
Breakfast Toast Sandwich with Egg & Cheese		$1.79
Breakfast Toast Sandwich with Bacon, Egg & Cheese		$1.89
Breakfast Toast Sandwich with Sausage, Egg & Cheese		$1.89
Belgian Waffle Slider with Sausage & Gravy (Limited Time)		$1.89
Belgian Waffle Slider with Bacon, Egg & Cheese (Limited Time)		$2.09
Belgian Waffle Slider with Sausage, Egg & Cheese (Limited Time)		$2.09
Mini Belgian Waffles (Limited Time)	2 Pc.	$1.69
Strawberries & Cream Waffles (Limited Time)	2 Pc.	$1.99
Mini Donuts	1	$0.39
Mini Donuts	3	$0.99
Hash Brown Nibblers	Small	$1.19
Hash Brown Nibblers	Medium	$1.69
Hash Brown Nibblers	Sack	$2.99
French Toast Sticks	4 pc.	$1.59
Maple & Brown Sugar Oatmeal		$1.49
Maple & Brown Sugar Oatmeal (No Topping)		$1.39
